10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2024-12-17 10:51:57.329686
10:51:57 17.12.2024 [             deliver.file]: |   INFO|: Files at /tmp/.private/gkuryachiy/tmpjoikapy7/repo...
10:51:57 17.12.2024 [             deliver.file]: |  DEBUG|: User /tmp/.private/gkuryachiy/tmpjoikapy7/repo/user
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user, TASK_ID=, USER_ID=user, timestamp=2024-12-17 10
10:51:57 17.12.2024 [             deliver.file]: |  DEBUG|: Added task                 for user user           
10:51:57 17.12.2024 [                     make]: |   INFO|: Parse and store all homeworks...
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Extracted [] checks from f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Extracted [] checks from f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Extracted user: solution from f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=user:, TASK_ID=, USER_ID=user, timestamp=2024-12-17 10:51:57.306242
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Extracted [] checks from f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Extracted user: solution from f./tmp/.private/gkuryachiy/tmpjoikapy7/repo/user homework
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=user:, TASK_ID=, USER_ID=user, timestamp=2024-12-17 10:51:57.306242
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=Check run, timestamp=2024-12-17 10:51:57.430608
10:51:57 17.12.2024 [                     make]: |   INFO|: Run all checks on all solutions...
