21:01:44 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2024-12-23 21:01:44.779033
21:01:44 23.12.2024 [             deliver.file]: |   INFO|: Files at /home/che/ASVK_python1_prac/crosstest/sample/repo...
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: User /home/che/ASVK_python1_prac/crosstest/sample/repo/student
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first, TASK_ID=first, USER_ID=Smart s
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user Smart student  
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/second, TASK_ID=second, USER_ID=Smart
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user Smart student  
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: User /home/che/ASVK_python1_prac/crosstest/sample/repo/studentka
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/first, TASK_ID=first, USER_ID=Beaut
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user Beautiful student
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/second, TASK_ID=second, USER_ID=Bea
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user Beautiful student
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: User /home/che/ASVK_python1_prac/crosstest/sample/repo/teacher
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/first, TASK_ID=first, USER_ID=The tea
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user The teacher    
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/second, TASK_ID=second, USER_ID=The t
21:01:45 23.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user The teacher    
21:01:45 23.12.2024 [                     make]: |   INFO|: Parse and store all homeworks...
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/01, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/02, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/second homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/01, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/02, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/first homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/01, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/02, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
